name,frame,label,hhmr,height,dist,p40
adl-01,6,-1,0.9572,1761.2471,927.3002,0.026112
adl-01,8,-1,0.77655,1428.844,818.2913,0.075228
adl-01,9,-1,0.93626,1722.725,908.9348,0.08555
adl-01,10,-1,0.93194,1714.7726,944.6872,0.045424
adl-01,11,-1,0.93203,1714.9402,923.3361,0.072031
adl-01,12,-1,0.92826,1707.9935,922.7464,0.07975
adl-01,13,-1,0.92529,1702.5292,945.2189,0.074273
adl-01,14,-1,0.95005,1748.0908,927.2016,0.093192
adl-01,15,-1,0.95856,1763.7472,923.006,0.082162
adl-01,16,-1,0.9151,1683.7781,939.0041,0.078302
adl-01,17,-1,0.94769,1743.7552,939.4982,0.074727
adl-01,18,-1,0.9237,1699.5997,955.8689,0.06422
adl-01,19,-1,0.96429,1774.2947,952.2744,0.07515
adl-01,20,-1,0.93668,1723.4954,966.0255,0.072993
adl-01,21,-1,0.93006,1711.3055,965.9799,0.067105
adl-01,22,-1,0.9309,1712.8587,960.6341,0.066643
adl-01,23,-1,0.83843,1542.7121,944.9368,0.064837
adl-01,24,-1,0.9749,1793.822,962.7193,0.069658
adl-01,25,-1,0.94431,1737.5226,964.147,0.070757
adl-01,26,-1,0.94474,1738.3184,972.8269,0.067162
adl-01,27,-1,0.94183,1732.9596,961.8297,0.074582
adl-01,28,-1,0.95295,1753.4211,983.7652,0.072312
adl-01,29,-1,0.93709,1724.2505,973.7617,0.071235
adl-01,30,-1,0.9311,1713.2232,976.0946,0.069408
adl-01,31,-1,0.89952,1655.1257,1031.2665,0
adl-01,32,-1,0.90027,1656.4963,959.1348,0.06647
adl-01,33,-1,0.93734,1724.7051,982.1141,0.05155
adl-01,34,-1,0.93078,1712.632,973.4117,0.069688
adl-01,35,-1,0.87343,1607.1023,957.0727,0.065558
adl-01,36,-1,0.93086,1712.7818,1297.8249,0
adl-01,37,-1,0.93645,1723.0717,954.9704,0.067067
adl-01,38,-1,0.86359,1589.0132,948.7257,0.061212
adl-01,39,-1,0.92777,1707.1007,960.9216,0.065838
adl-01,40,-1,0.92409,1700.3183,947.7307,0.069041
adl-01,41,-1,0.88676,1631.6367,922.3837,0.082743
adl-01,42,-1,0.95047,1748.8719,913.9123,0.10589
adl-01,43,-1,0.84065,1546.7938,890.2388,0.11361
adl-01,44,-1,0.94877,1745.7427,916.7064,0.11874
adl-01,45,-1,0.79377,1460.5446,951.3299,0.0082019
adl-01,46,-1,0.94608,1740.7956,888.9727,0.13627
adl-01,47,-1,0.80728,1485.3976,841.3639,0.1503
adl-01,48,-1,0.89259,1642.3657,872.8109,0.14566
adl-01,49,-1,0.88614,1630.4976,851.9631,0.15895
adl-01,50,-1,0.88665,1631.4348,871.1753,0.15391
adl-01,51,-1,0.79335,1459.7573,843.6745,0.15558
adl-01,52,-1,0.90475,1664.746,853.9072,0.16271
adl-01,53,-1,0.94625,1741.1033,876.6463,0.15117
adl-01,54,-1,0.78035,1435.8503,837.9614,0.1498
adl-01,55,-1,0.78384,1442.2641,827.2271,0.15146
adl-01,56,-1,0.79844,1469.1345,842.6824,0.13284
adl-01,57,-1,0.68615,1262.511,697.2535,0.18154
adl-01,58,-1,0.848,1560.3118,875.9484,0.12126
adl-01,59,-1,0.8467,1557.9341,867.7665,0.12594
adl-01,60,-1,0.81067,1491.6416,861.4501,0.12017
adl-01,61,-1,0.81067,1491.6416,850.0809,0.1257
adl-01,62,-1,0.81833,1505.7265,835.5391,0.15506
adl-01,63,-1,0.85234,1568.2996,834.3487,0.16298
adl-01,64,-1,0.81594,1501.323,798.4989,0.19056
adl-01,65,-1,0.85122,1566.2452,853.8841,0.16346
adl-01,66,-1,0.81201,1494.0902,814.9163,0.18207
adl-01,67,-1,0.81504,1499.6731,816.3056,0.1867
adl-01,68,-1,0.82226,1512.9571,827.529,0.17277
adl-01,69,-1,0.82485,1517.7162,852.35,0.16181
adl-01,70,-1,0.80177,1475.2657,813.3987,0.18771
adl-01,71,-1,0.80294,1477.4165,797.4856,0.20171
adl-01,72,-1,0.80785,1486.4453,797.6349,0.19834
adl-01,73,-1,0.63541,1169.1629,662.692,0.26339
adl-01,74,-1,0.8049,1481.0232,802.3927,0.19837
adl-01,75,-1,0.8092,1488.9191,810.1649,0.19133
adl-01,76,-1,0.79412,1461.1897,795.6237,0.19214
adl-01,77,-1,0.81769,1504.5439,802.018,0.18402
adl-01,78,-1,0.8021,1475.861,804.6571,0.17259
adl-01,79,-1,0.80277,1477.0986,794.264,0.17834
adl-01,80,-1,0.79614,1464.8941,798.5366,0.16814
adl-01,81,-1,0.80968,1489.811,788.3997,0.17878
adl-01,82,-1,0.80968,1489.811,776.7371,0.19458
adl-01,83,-1,0.79404,1461.0394,752.0247,0.22245
